slug,name,description,affiliateUrl,factoringType,feeMin,feeMax,minAmount,maxAmount,speedDays,onlineComplete,soleProprietorOk,weekendPayment,features,pros,cons,overallRating,rankPosition,establishedYear,targetIndustries
3s-factoring,3S,スリーエスのファクタリングサービス。少額から大口まで対応。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BPIX2Q+5QRM+5YJRM,2社間・3社間,2,19,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.0,61,2018,建設業|運送業|製造業|IT・Web|サービス業
act-will,アクト・ウィル,最高1億円までの大口ファクタリングに対応。審査通過率90%以上、最短即日で入金可能。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BIDPTE+5KPA+BWVTE,2社間・3社間,10,20,300000,100000000,1,False,False,False,最高1億円対応|審査通過率90%以上|即日入金可能|大口案件に強い|全国出張対応,大口の資金調達に対応|審査通過率が高い|全国出張対応で地方でも安心,オンライン完結に非対応|少額案件には不向き,4.0,62,2017,建設業|運送業|製造業|不動産業|卸売業
ennavi,えんナビ,24時間365日スタッフ対応。最短1日で資金化可能、少額から売掛債権の買取に対応。,https://px.a8.net/svt/ejp?a8mat=4AX0WK+FOEY9E+44CA+61C2P,2社間・3社間,5,20,300000,50000000,1,True,True,False,24時間365日対応|最短1日入金|全国対応|オンライン完結|秘密厳守,24時間いつでも相談できる|全国どこからでも利用可能|秘密厳守で安心,手数料がやや高め|即日ではなく翌日になる場合も,4.0,63,2017,建設業|運送業|製造業|小売業|サービス業
factorplan,ファクタープラン,「会わずに、迷わず、すぐ進む」がコンセプト。最短4時間で資金化、調達成功率95.2%。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+A079RM+5RC6+5YJRM,2社間,3,18,100000,50000000,1,True,True,False,最短4時間で資金化|調達成功率95.2%|スマホで完結|全国対応|リピート率92.7%,スマホだけで申込から契約まで完結|調達成功率が非常に高い|チャットで進捗確認可能,2社間ファクタリングのみ|手数料がやや高めの場合がある,4.0,64,2019,建設業|IT・Web|広告・メディア|運送業|製造業
japan-management,ジャパンマネジメント,東京・福岡の2拠点で全国対応。2社間・3社間両対応、24時間相談受付で最短即日審査完了。,https://px.a8.net/svt/ejp?a8mat=4AX1ON+BN56NM+3V6A+5YJRM,2社間・3社間,3,20,500000,50000000,1,False,False,True,東京・福岡2拠点|24時間相談対応|全国出張可能|3社間で手数料優遇|即日審査完了,24時間いつでも相談できる|2拠点で広いエリアをカバー|対面での丁寧なサポート,オンライン完結ではない|手数料の上限がやや高め,4.0,65,2016,建設業|運送業|製造業|医療・介護|飲食業
mufg-factor,三菱UFJファクター,三菱UFJフィナンシャル・グループの大手ファクタリング会社。大企業・中堅企業向けの信頼性の高いサービス。,https://www.mufg-factor.jp/,3社間,1,5,10000000,50000000,7,False,False,False,三菱UFJグループ|大企業向け|国際ファクタリング|一括ファクタリング|でんさい対応,日本最大級の金融グループの信頼性|手数料が非常に低い|多様なファクタリングサービス,中小企業・個人事業主には不向き|審査・入金に時間がかかる,4.0,66,1977,製造業|卸売業|商社|大企業
trust-gateway,トラストゲートウェイ,福岡拠点のファクタリング会社。審査通過率95%以上、クラウド契約で来店不要。医療系にも対応。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+A0SPDE+3RD2+5YJRM,2社間・3社間,1.5,9.5,100000,30000000,1,True,True,False,審査通過率95%以上|クラウド契約対応|医療系対応|福岡拠点|全国対応,審査通過率が非常に高い|クラウド契約で来店不要|医療系の売掛金にも対応,福岡以外の対面は難しい|手数料の上限がやや高め,4.0,67,2018,医療・介護|建設業|運送業|製造業|サービス業
accel-factor,アクセルファクター,業界トップクラスのスピード対応が強み。最短2時間での入金実績があり、急ぎの資金調達に最適なファクタリング会社です。少額から利用可能で、中小企業・個人事業主に幅広く対応。,https://accelfacter.co.jp/,2社間・3社間,2,20,300000,100000000,1,True,False,False,最短2時間入金|審査通過率93%以上|少額30万円から対応|オンライン完結|全国対応,業界最速クラスの入金スピード|少額債権でも柔軟に対応|審査通過率が非常に高い,手数料が他社よりやや高めになる場合がある|電話対応が混み合うことがある,3.9,68,2018,建設業|運送業|製造業|小売業|サービス業
pay-today,PayToday（ペイトゥデイ）,AI審査で最短30分入金。手数料1%〜と業界最安水準を実現するオンラインファクタリングサービス。,https://paytoday.jp/,2社間,1,9.5,300000,50000000,1,True,False,False,最短30分入金|手数料1%〜|AI審査|完全オンライン|少額OK,手数料が1%〜と非常に安い|最短30分での入金実績|少額から利用可能,新しいサービスで実績が少ない|電話サポートが限定的,3.9,69,2021,IT・Web|小売業|飲食業|広告・メディア
chusho-support,日本中小企業金融サポート機構,一般社団法人運営の安心感。手数料1.5%～10%で非営利ならではの低コスト。,https://chushokigyo-support.or.jp/,2社間・3社間,1.5,10,10000,50000000,1,True,False,False,一般社団法人運営|手数料1.5%〜|金額制限なし|オンライン完結|経営サポート付き,非営利法人で信頼性が高い|低手数料|経営改善のアドバイスも受けられる,知名度がやや低い|土日祝は対応不可,3.9,70,2017,建設業|運送業|製造業|医療・介護|小売業
anew,anew,OLTAと新生銀行（SBI新生銀行）の共同出資で設立されたファクタリング会社。フィンテック企業と銀行の強みを融合し、低手数料かつ信頼性の高いサービスを提供しています。,https://anew-factoring.jp/,2社間,2,9,500000,50000000,2,True,False,False,OLTA×新生銀行共同出資|AI審査で低手数料|銀行グループの信頼性|オンライン完結|秘密厳守,銀行系の信頼性と透明性|AI審査により手数料が低く抑えられる|オンラインで手続きが完結,審査がやや厳格で通過しない場合もある|即日入金は原則非対応,3.9,71,2020,IT・Web|製造業|卸売業|サービス業|広告業
mf-early-payment,マネーフォワード アーリーペイメント,マネーフォワードグループ運営。法人専門ファクタリングで即日入金可能。,https://mfkessai.co.jp/ep/top,2社間,1,10,500000,50000000,1,True,False,False,マネーフォワードグループ|法人専門|即日入金可能|債権譲渡登記不要|オンライン完結,上場グループの安心感|登記不要で取引先に知られない|即日入金,法人専門で個人事業主不可|比較的新しいサービス,3.9,72,2017,IT・Web|製造業|サービス業|卸売業|広告業
accretive,アクリーティブ,東証プライム上場・芙蓉リースグループ。医療・介護報酬ファクタリングに強い。,https://www.accretive.jp/,3社間,0.25,5,1000000,50000000,5,False,False,False,東証プライム上場|医療・介護特化|年間取扱2000億円超|手数料月0.25%〜|全国47都道府県対応,上場企業の信頼性|医療・介護に強い|手数料が非常に安い,3社間のみ|入金まで日数がかかる,4.0,73,2000,医療・介護|調剤薬局|歯科|病院|介護施設
active-support,アクティブサポート,中小企業の資金繰りを積極的にサポートするファクタリング会社。柔軟な審査が特長。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+9R9ROY+4JGG+60OXD,2社間・3社間,2,14.8,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.0,74,2018,建設業|運送業|製造業|IT・Web|サービス業
axia-plus,アクシアプラス,ファクタリング・資金調達サポート。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+9VFSXE+4HV8+BXQOH,2社間・3社間,4,9,300000,50000000,1,True,True,True,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.0,75,2018,建設業|運送業|製造業|IT・Web|サービス業
bitresy,ビートレーディング,累計取引実績5万件以上を誇る業界の老舗ファクタリング会社。豊富な実績とノウハウで、幅広い業種・規模の企業に対応。安定したサービス品質が信頼されています。,https://betrading.jp/,2社間・3社間,2,12,500000,300000000,2,True,False,False,累計取引5万件超|最大3億円対応|全国5拠点|オンライン完結|専任担当者制,業界トップクラスの取引実績で安心|少額から大口まで幅広く対応|全国に拠点があり対面相談も可能,即日入金は条件による|手数料は案件ごとに変動が大きい,4.0,76,2012,建設業|運送業|製造業|医療・介護|人材派遣業
factoring-try,ファクタリングのTRY,"ノンリコース契約で売掛先倒産リスクなし。10万円〜5,000万円以上、24時間365日電話受付。",https://px.a8.net/svt/ejp?a8mat=4AX1ON+BGLF02+50EQ+609HT,2社間,3,20,100000,50000000,1,True,True,False,ノンリコース契約|24時間電話受付|税金滞納中でもOK|LINE申込対応|乗り換え手数料優遇,24時間365日電話対応で安心|税金滞納中でも契約可能|乗り換え時に手数料優遇あり,手数料の上限がやや高い|オンライン審査の精度は他社に劣る場合も,4.0,77,2018,建設業|運送業|製造業|小売業|サービス業
factoru,FACTOR⁺U（ファクトル）,日本中小企業金融サポート機構運営のAIファクタリング。手数料1.5%～、最短40分入金。,https://chushokigyo-support.or.jp/factoru/,2社間,1.5,10,10000,50000000,1,True,False,False,AI審査|最短40分入金|手数料1.5%〜|非営利法人運営|必要書類2点のみ,非営利法人の安心感|最短40分の超スピード|必要書類が少ない,知名度がまだ低い|2者間のみ,4.0,78,2017,建設業|運送業|製造業|IT・Web|医療・介護
jps-factoring,JPS,法人向けファクタリングサービス。売掛金の買取を通じた中小企業の資金繰り支援を行う。,https://px.a8.net/svt/ejp?a8mat=4AX1ON+BKRG8I+5RPI+60H7L,2社間・3社間,2,10,500000,50000000,2,False,True,False,法人向け|2社間・3社間対応|全国対応|対面相談|経営相談対応,2社間・3社間の選択が可能|対面で丁寧なサポート|経営相談にも対応,オンライン完結に非対応|入金まで2日程度かかる,4.0,79,2016,建設業|製造業|運送業|卸売業
sbi-factoring,SBI入金QUICK,SBIグループ運営のファクタリング。手数料0.5%～の業界最安水準。,https://www.sbi-efinance.co.jp/,2社間,0.5,3.8,100000,50000000,2,True,False,False,手数料0.5%〜|SBIグループ運営|オンライン完結|法人向け|請求QUICKと連携,業界最安水準の手数料|SBIグループの安心感|請求書管理と一体化,法人限定|最短2営業日,4.0,80,2015,IT・Web|製造業|卸売業|サービス業|建設業
urikakedo,うりかけ堂,低手数料とスピーディーな入金が特徴。最短2時間で資金化、全国対応のオンラインファクタリング。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BOXHGY+4S8A+5YJRM,2社間・3社間,2,12,300000,50000000,1,True,True,False,最短2時間入金|低手数料|全国対応|3社間対応|個人事業主OK,手数料が低く抑えられる|入金スピードが速い|3社間でさらに手数料を抑えられる,知名度がまだ低い|大口案件の対応は要相談,4.0,81,2019,建設業|運送業|製造業|小売業|サービス業
urikakekin-pay,売掛金PAY JBL,JBLが提供する売掛金買取サービス。法人・個人事業主対応。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BK60MQ+4V1O+5ZEMQ,2社間・3社間,3,15,300000,50000000,1,True,True,False,売掛金買取|法人対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.0,82,2018,建設業|運送業|製造業|IT・Web|サービス業
gmo-btob,GMO BtoB早払い,GMOペイメントゲートウェイ運営。注文書・請求書の両方を買取可能。,https://www.gmo-pg.com/lpc/hayabarai/,2社間,1,12,1000000,1000000000,2,True,False,False,東証プライム上場企業運営|注文書買取対応|手数料1%〜|オンライン完結|法人専用,上場企業の信頼性|注文書段階から買取可能|大口取引にも対応,法人のみ対応（個人事業主不可）|最短2営業日とやや遅め,3.9,83,1995,製造業|IT・Web|卸売業|建設業|運送業
mentor-capital,メンターキャピタル,最大1億円までの大口ファクタリングに対応。中堅〜大企業の大型債権の買取に強みを持ち、経験豊富な専任担当者がサポートします。,https://mentor-capital.jp/,2社間・3社間,2,15,1000000,100000000,2,False,False,False,最大1億円対応|専任担当者制|大口案件に強い|3社間で手数料優遇|法人向けサービス充実,大口債権にも柔軟に対応可能|専任担当者による手厚いサポート|3社間利用で手数料を抑えられる,少額案件には対応していない|オンライン完結には非対応で面談が必要,3.9,84,2016,建設業|製造業|卸売業|不動産業|人材派遣業
pmg,PMG,ピーエムジー株式会社が運営。月間取扱件数500件以上、新規契約率98%の業界トップクラスの実績。,https://p-m-g.tokyo/,2社間・3社間,2,15,500000,200000000,1,True,False,False,月間500件以上の取扱|新規契約率98%|最大2億円対応|オンライン完結|全国対応,圧倒的な取扱実績で安心|大口案件にも対応可能|新規契約率が非常に高い,少額案件は優先度が下がる場合あり|手数料は案件による,3.9,85,2015,建設業|運送業|製造業|医療・介護|人材派遣
jtc,JTC,入金前払いシステムを提供するファクタリング会社。売掛金を入金日より前に前払い。名古屋・大阪に拠点。,https://j-t-c.info/,2社間・3社間,2,10,1000000,100000000,1,False,False,False,入金前払いシステム|名古屋・大阪拠点|1億円まで対応|対面相談可能|経営コンサル対応,手数料が比較的低い|対面で丁寧に相談できる|大口案件にも対応,オンライン完結ではない|東京に拠点がない,3.8,86,2013,建設業|製造業|運送業|卸売業|医療・介護
mizuho-factor,みずほファクター,みずほフィナンシャルグループの信頼性。大企業向けの3社間ファクタリングを中心に展開する老舗。,https://www.mizuho-factor.co.jp/,3社間,1,5,10000000,50000000,7,False,False,False,みずほグループ|大企業向け|3社間専門|低手数料|国際ファクタリング対応,メガバンクグループの圧倒的な信頼性|手数料が非常に低い|国際ファクタリングにも対応,中小企業・個人事業主は利用が難しい|入金まで時間がかかる,3.8,87,1977,製造業|卸売業|商社|大企業
orix-factoring,オリックス,大手総合金融グループのファクタリング。安定した資金力と全国ネットワーク。,https://www.orix.co.jp/grp/,3社間,1,5,5000000,50000000,5,False,False,False,大手金融グループ|安定した資金力|全国対応|法人向け|大口取引対応,大手の信頼性|大口取引にも対応|全国ネットワーク,3社間のみ|個人事業主不可|審査に時間がかかる,3.8,88,1964,製造業|建設業|不動産業|卸売業|運送業
otti,OTTI（オッティ）,個人事業主から法人まで対応。最短即日入金、30万円から利用可能。,https://otti.jp/,2社間・3社間,5,20,300000,50000000,1,True,True,False,最短即日入金|30万円から対応|個人事業主OK|全国対応|オンライン対応,少額から利用可能|個人事業主も対応|即日入金可能,手数料上限が高め|手数料上限非公開,3.8,89,2017,建設業|運送業|IT・Web|小売業|飲食業
quartett,QuQuMo（ククモ）,最短2時間で入金可能なスピード特化型ファクタリング。手続きもシンプルでオンライン完結。,https://ququmo.net/,2社間,1,14.8,300000,50000000,1,True,True,False,最短2時間入金|オンライン完結|必要書類が少ない|個人事業主OK|法人専用プランあり,入金スピードが非常に速い|必要書類が少なく手軽|手数料が比較的安い,手数料の上限がやや高め|3社間ファクタリングに非対応,3.8,90,2020,建設業|運送業|製造業|小売業
chatwork-sakibarai,Chatwork先払い,Chatworkが提供する先払いサービス。請求書の早期資金化。,https://go.chatwork.com/ja/early-payment/,2社間・3社間,1,10,300000,50000000,1,True,False,False,Chatwork連携|オンライン完結|請求書買取|法人向け|テクノロジー活用,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,91,2020,建設業|運送業|製造業|IT・Web|サービス業
saison-invoice,SAISON INVOICE,セゾンが提供するインボイスファクタリング。大手の安心感。,https://www.saisoninvoice.com/,2社間・3社間,1,8,300000,50000000,2,True,False,False,セゾングループ|大手運営|法人向け|オンライン対応|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,92,2019,建設業|運送業|製造業|IT・Web|サービス業
smbc-fs,SMBCファイナンスサービス,三井住友銀行グループのファイナンスサービス。ファクタリング対応。,https://www.smbc-fs.co.jp/,3社間,0.5,3,10000000,50000000,5,False,False,False,三井住友グループ|大手金融機関|低手数料|法人向け|大口対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,93,1988,建設業|運送業|製造業|IT・Web|サービス業
ag-business,AGビジネスサポート,アイフルグループ運営の信頼性抜群のファクタリング。契約実績15万件以上、請求書1枚から申込可能。,https://www.ag-b.jp/,2社間・3社間,2,12,300000,50000000,1,True,False,False,アイフルグループ|契約実績15万件超|請求書1枚からOK|5秒診断あり|赤字決算でも対応,大手アイフルグループの安心感|請求書1枚から気軽に利用可能|赤字決算・債務超過でも対応,大手のため審査がやや厳格な場合も|手数料は案件による,3.7,94,2001,建設業|製造業|運送業|小売業|サービス業
alpharia,アルファリア,法人向けファクタリング。審査が柔軟で即日対応可能。,https://alpharia.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,95,2018,建設業|運送業|製造業|IT・Web|サービス業
anchor-guardian,アンカーガーディアン,九州・西日本エリア特化。3社間3%～、2社間5%～の低手数料。,https://anchorguardian.com/,2社間・3社間,3,15,300000,50000000,1,True,False,False,西日本特化|3社間3%〜|2社間5%〜|最短即日|対面相談可,西日本エリアに強い|手数料が安い|即日対応可能,西日本限定|東日本は対面対応不可,3.7,96,2016,建設業|運送業|製造業|小売業|飲食業
denshi-hayabarai,電子請求書早払い,電子請求書の早払いサービス。オンライン完結のファクタリング。,https://hayabarai.jp/,2社間・3社間,1,8,300000,50000000,1,True,False,False,電子請求書対応|オンライン完結|即日入金|法人向け|テクノロジー活用,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,97,2020,建設業|運送業|製造業|IT・Web|サービス業
factor-com,ファクター.com,オンラインファクタリングサービス。,https://factor-com.jp/,2社間・3社間,2,12,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,98,2018,建設業|運送業|製造業|IT・Web|サービス業
ja-mitsui-lease,JA三井リース,JA系×三井系の大手リース会社。売掛債権・手形債権の買取に対応。,https://www.jamitsuilease.co.jp/,3社間,1,5,5000000,50000000,5,False,False,False,大手リース会社運営|売掛・手形両対応|農業分野にも強い|法人向け|全国対応,大手の安心感|農業・食品分野に強い|手形債権も対応,3社間のみ|個人事業主は不可|入金まで時間がかかる,3.7,99,2008,農業|食品|製造業|卸売業|運送業
japan-maison,日本中小企業金融サポート機構,一般社団法人が運営する非営利型のファクタリングサービス。営利目的ではないため手数料が低く抑えられ、中小企業の資金繰り改善を本格的に支援しています。,https://chushokigyo-support.or.jp/,2社間・3社間,1.5,10,500000,300000000,3,True,False,False,一般社団法人運営|非営利で手数料が低い|経営相談も対応|全国対応|資金繰りコンサル付き,非営利団体のため手数料が低い|資金調達だけでなく経営相談もできる|社団法人の信頼性・安心感,入金まで最短3日と時間がかかる|急ぎの資金調達には不向き,3.7,100,2017,建設業|製造業|運送業|医療・介護|小売業
jigyou-agent,事業資金エージェント,最短2時間で資金化可能なファクタリング会社。500万円以下は来店不要、1.5%〜の低手数料。,https://shikin-agent.com/,2社間・3社間,1.5,15,100000,200000000,1,True,False,False,最短2時間入金|500万円以下は来店不要|最大2億円対応|1.5%〜低手数料|リピート率90%以上,手数料1.5%〜と低い|最大2億円の大口にも対応|500万円以下はオンライン完結,500万円超は面談が必要|手数料の幅が広い,3.7,101,2014,建設業|運送業|製造業|IT・Web|医療・介護
kaipoke-early,カイポケ早期入金,エス・エム・エスが提供する介護事業者向けファクタリング。介護報酬の早期入金。,https://ads.kaipoke.biz/,3社間,0.8,3,300000,50000000,3,True,False,False,介護事業者特化|低手数料|介護報酬対応|大手運営|安心のサービス,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,102,2015,医療・介護
nec-capital,NECキャピタルソリューション,NECグループのファイナンスサービス。リース・ファクタリング。,https://www.necap.co.jp/,3社間,0.5,3,10000000,50000000,5,False,False,False,NECグループ|大手運営|法人向け|リース対応|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,103,1978,建設業|運送業|製造業|IT・Web|サービス業
norikae-plus,のりかえPLUS,他社からの乗り換え専門ファクタリング。現在利用中の手数料より安くなることを保証するサービス。,https://norikae-plus.jp/,2社間,1,10,300000,50000000,1,True,False,False,乗り換え専門|手数料引き下げ保証|オンライン完結|即日入金|秘密厳守,他社より手数料が安くなることを保証|既にファクタリング利用中なら審査がスムーズ|即日入金対応,新規利用者は対象外|乗り換え元の情報提示が必要,3.7,104,2020,建設業|運送業|製造業|IT・Web|医療・介護
paybridge,PAYBRIDGE,ファクタリング・決済サービス。中小企業の資金調達に対応。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BQPSAA+3JLM+BWVTE,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,105,2018,建設業|運送業|製造業|IT・Web|サービス業
showa-lease,昭和リース,SBIグループの大手リース会社。売掛債権ファクタリングを提供。,https://www.s-lease.com/,3社間,1,5,5000000,50000000,5,False,False,False,SBIグループ|大手リース会社|法人向け|大口対応|全国対応,大手の安心感|手数料が安い,3社間のみ|個人事業主不可|入金まで時間がかかる,3.7,106,1969,製造業|建設業|不動産業|卸売業|運送業
sokumu,SoKuMo（ソクモ）,即日お見積りのオンラインファクタリング。手数料1%〜、最短即日で入金。シンプルな手続きが特徴。,https://sokumu.jp/,2社間,1,15,100000,50000000,1,True,False,False,手数料1%〜|即日見積もり|オンライン完結|シンプル手続き|全国対応,手数料が1%〜と低い|即日で見積もりが出る|オンラインで手軽に利用可能,知名度がまだ低い|実績が少なめ,3.7,107,2021,IT・Web|建設業|製造業|小売業
soreiyu,ソレイユ,手数料1%～、最短30分で資金化。審査通過率90%の柔軟な対応。,https://solejapan.com/,2社間・3社間,1,15,100000,50000000,1,True,True,False,最短30分審査|手数料1%〜|審査通過率90%|オンライン完結|個人事業主OK,審査が柔軟|手数料が安い|スピード対応,手数料上限がやや高い|知名度がやや低い,3.7,108,2018,建設業|運送業|IT・Web|小売業|飲食業
tokyo-century,東京センチュリー,伊藤忠・みずほグループのリース・ファクタリング。大手の安心感。,https://www.tokyocentury.co.jp/,3社間,0.5,3,10000000,50000000,5,False,False,False,伊藤忠・みずほグループ|大手金融機関|法人向け|リース対応|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.7,109,1969,建設業|運送業|製造業|IT・Web|サービス業
tokyo-spc,東京SPCマネジメント,流動化・証券化の専門会社。診療・介護報酬ファクタリングにも対応。,https://tokyo-spc.com/,2社間・3社間,3,15,1000000,50000000,3,False,False,False,証券化の専門家|診療報酬対応|介護報酬対応|自社出資100%|法人向け,証券化のプロ|医療・介護にも対応|自社資金で安定,手数料非公開|個人事業主不可,3.7,110,1999,医療・介護|製造業|建設業|卸売業|不動産業
trusfort,トラストフォート,個人事業主・フリーランスに特化したファクタリングサービス。少額債権にも柔軟に対応し、初めての方でも安心して利用できるサポート体制が充実しています。,https://trusfort.jp/,2社間,3,18,100000,30000000,1,True,True,False,個人事業主特化|10万円から利用可能|初回サポート充実|オンライン完結|必要書類が少ない,個人事業主でも利用しやすい審査基準|少額10万円から対応可能|初めてでも安心の丁寧なサポート,法人向けの大口案件には不向き|3社間ファクタリングに非対応,3.6,111,2019,フリーランス|個人事業主|クリエイター|士業|飲食業
actbiz,アクトビズ,ファクタリング・資金調達サービス。中小企業向け。,https://actbiz.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.5,112,2018,建設業|運送業|製造業|IT・Web|サービス業
avantia,アバンティア,ファクタリングサービス。中小企業の資金調達をサポート。,https://avantia.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.5,113,2018,建設業|運送業|製造業|IT・Web|サービス業
buy-factor,BuyFactor,売掛金の買取に特化したファクタリングサービス。,https://buyfactor.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,売掛金買取|即日入金|オンライン対応|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.5,114,2018,建設業|運送業|製造業|IT・Web|サービス業
danbury,ダンバリコンサルティング,ファクタリング・コンサルティングサービス。,https://danbury.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.5,115,2018,建設業|運送業|製造業|IT・Web|サービス業
dm-company,D&Mカンパニー,ファクタリング・資金調達のコンサルティング会社。,https://dm-company.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.5,116,2018,建設業|運送業|製造業|IT・Web|サービス業
dmc-factoring,DMC,ファクタリング・事業資金サービス。,https://dmc-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.5,117,2018,建設業|運送業|製造業|IT・Web|サービス業
dokenkun,土建くん,建設業界専門のファクタリングサービス。工事代金の早期資金化に対応。,https://dokenkun.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,建設業特化|即日入金|個人事業主OK|全国対応|工事代金対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.5,118,2019,建設業
